time,IP,seqno,pkt,tx,MIsent,MIrecv,RSsent,RSRECV,hop_cnt,dis,dio,dao,rank
1463044891,2001:470:83ae:2:212:6d02::4040,1,3,3,0,0,0,0,255,0,0,0,0
1463044891,2001:470:83ae:2:212:6d02::4040,2,2,2,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,3,1,1,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,4,1,1,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,5,0,0,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,6,5,5,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,7,5,5,0,0,0,0,255,0,0,0,0
1463044892,2001:470:83ae:2:212:6d02::4040,8,7,7,0,0,0,0,255,0,0,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,9,2,2,0,0,0,0,255,0,1,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,10,0,0,0,0,0,0,255,0,1,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,11,1,1,0,0,0,0,255,0,1,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,12,0,0,0,0,0,0,255,0,1,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,13,2,2,0,0,0,0,255,0,1,0,0
1463044893,2001:470:83ae:2:212:6d02::4040,14,0,0,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,15,0,0,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,16,0,0,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,17,3,3,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,18,5,5,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,19,3,3,0,0,0,0,255,0,1,0,0
1463044894,2001:470:83ae:2:212:6d02::4040,20,5,5,0,0,0,0,255,0,1,0,0
1463044895,2001:470:83ae:2:212:6d02::4040,21,5,5,0,0,0,0,255,0,1,0,0
1463044895,2001:470:83ae:2:212:6d02::4040,22,5,5,0,0,0,0,255,0,1,0,0
1463044895,2001:470:83ae:2:212:6d02::4040,23,5,5,0,0,0,0,255,0,1,0,0
