00:00:03 fe80::212:6d02:0:400d,ff02::1a,17,1,
00:00:03 fe80::212:6d02:0:400d,ff02::1a,18,1,
00:00:04 fe80::212:6d02:0:400d,ff02::1a,19,1,
00:00:06 fe80::212:6d02:0:400d,ff02::1a,20,1,
00:00:09 fe80::212:6d02:0:400d,ff02::1a,21,1,
00:00:18 fe80::212:6d02:0:400d,ff02::1a,22,1,
00:00:26 fe80::212:6d02:0:4012,ff02::1a,17,0,
00:00:26 fe80::212:6d02:0:400d,ff02::1a,23,1,
00:00:26 fe80::212:6d02:0:4012,ff02::1a,18,1,
00:00:26 fe80::212:6d02:0:4012,fe80::212:6d02:0:400d,19,2,
00:00:26 ,19,,
00:00:27 fe80::212:6d02:0:400d,ff02::1a,24,1,
00:00:27 fe80::212:6d02:0:4012,ff02::1a,20,1,
00:00:27 fe80::212:6d02:0:4012,ff02::1a,21,1,
00:00:28 fe80::212:6d02:0:400d,ff02::1a,25,1,
00:00:29 fe80::212:6d02:0:4012,ff02::2,22,0,1
00:00:29 fe80::212:6d02:0:400d,fe80::212:6d02:0:4012,26,0,1,3
00:00:29 ,26,,
00:00:29 fe80::212:6d02:0:400d,ff02::1a,27,1,
00:00:29 fe80::212:6d02:0:4012,ff02::1a,23,1,
00:00:32 fe80::212:6d02:0:4012,ff02::1a,24,1,
00:00:32 fe80::212:6d02:0:400d,ff02::1a,28,1,
00:00:39 fe80::212:6d02:0:400d,ff02::1a,29,1,
00:00:39 fe80::212:6d02:0:4012,ff02::1a,25,1,
00:00:46 fe80::212:6d02:0:310d,ff02::1a,17,0,
00:00:46 fe80::212:6d02:0:400d,ff02::1a,30,1,
00:00:47 fe80::212:6d02:0:4012,ff02::1a,26,1,
00:00:47 fe80::212:6d02:0:310d,ff02::1a,18,1,
00:00:47 fe80::212:6d02:0:310d,fe80::212:6d02:0:400d,19,2,
00:00:47 ,19,,
00:00:47 fe80::212:6d02:0:400d,ff02::1a,31,1,
00:00:47 fe80::212:6d02:0:4012,ff02::1a,27,1,
00:00:47 fe80::212:6d02:0:310d,ff02::1a,20,1,
00:00:47 fe80::212:6d02:0:4012,ff02::1a,28,1,
00:00:48 fe80::212:6d02:0:400d,ff02::1a,32,1,
00:00:48 fe80::212:6d02:0:310d,ff02::1a,21,1,
00:00:49 fe80::212:6d02:0:310d,ff02::2,22,0,1
00:00:49 fe80::212:6d02:0:400d,ff02::1a,33,1,
00:00:50 ,29,,
00:00:53 fe80::212:6d02:0:310d,ff02::1a,24,1,
00:00:53 fe80::212:6d02:0:400d,ff02::1a,34,1,
00:00:54 fe80::212:6d02:0:4012,ff02::1a,30,1,
00:00:59 fe80::212:6d02:0:4012,ff02::1a,31,1,
00:00:59 fe80::212:6d02:0:310d,ff02::2,25,0,1
00:01:00 fe80::212:6d02:0:310d,ff02::1a,26,1,
00:01:01 fe80::212:6d02:0:400d,ff02::1a,35,1,
00:01:05 fe80::212:6d02:0:3005,ff02::1a,17,0,
00:01:05 fe80::212:6d02:0:4012,ff02::1a,32,1,
00:01:05 fe80::212:6d02:0:400d,ff02::1a,36,1,
00:01:05 fe80::212:6d02:0:310d,ff02::1a,27,1,
00:01:06 fe80::212:6d02:0:3005,ff02::1a,18,1,
00:01:06 fe80::212:6d02:0:3005,fe80::212:6d02:0:400d,19,2,
00:01:06 ,19,,
00:01:06 fe80::212:6d02:0:3005,fe80::212:6d02:0:400d,20,2,
00:01:06 ,20,,
00:01:06 fe80::212:6d02:0:310d,ff02::1a,28,1,
00:01:06 fe80::212:6d02:0:4012,ff02::1a,33,1,
00:01:06 fe80::212:6d02:0:400d,ff02::1a,37,1,
00:01:06 fe80::212:6d02:0:3005,ff02::1a,21,1,
00:01:06 fe80::212:6d02:0:4012,ff02::1a,34,1,
00:01:06 fe80::212:6d02:0:400d,ff02::1a,38,1,
00:01:06 fe80::212:6d02:0:310d,ff02::1a,29,1,
00:01:07 fe80::212:6d02:0:3005,ff02::1a,22,1,
00:01:08 fe80::212:6d02:0:3005,ff02::2,23,0,1
00:01:08 fe80::212:6d02:0:400d,fe80::212:6d02:0:3005,39,0,1,3
00:01:08 ,39,,
00:01:08 fe80::212:6d02:0:4012,ff02::1a,35,1,
00:01:08 fe80::212:6d02:0:400d,ff02::1a,40,1,
00:01:09 fe80::212:6d02:0:3005,ff02::1a,24,1,
00:01:09 fe80::212:6d02:0:310d,ff02::1a,30,1,
00:01:09 fe80::212:6d02:0:310d,ff02::2,31,0,1
00:01:09 fe80::212:6d02:0:400d,fe80::212:6d02:0:310d,41,0,1,3
00:01:09 ,41,,
00:01:11 fe80::212:6d02:0:3005,ff02::1a,25,1,
00:01:11 fe80::212:6d02:0:310d,ff02::1a,32,1,
00:01:13 fe80::212:6d02:0:4012,ff02::1a,36,1,
00:01:13 fe80::212:6d02:0:400d,ff02::1a,42,1,
00:01:18 fe80::212:6d02:0:310d,ff02::1a,33,1,
00:01:18 fe80::212:6d02:0:4012,ff02::1a,37,1,
00:01:18 fe80::212:6d02:0:400d,ff02::1a,43,1,
00:01:19 fe80::212:6d02:0:3005,ff02::1a,26,1,
00:01:26 fe80::212:6d02:0:400f,ff02::1a,17,0,
00:01:27 fe80::212:6d02:0:4012,ff02::1a,38,1,
00:01:27 fe80::212:6d02:0:400d,ff02::1a,44,1,
00:01:27 fe80::212:6d02:0:310d,ff02::1a,34,1,
00:01:27 fe80::212:6d02:0:3005,ff02::1a,27,1,
00:01:27 fe80::212:6d02:0:400f,ff02::1a,18,1,
00:01:27 fe80::212:6d02:0:400f,fe80::212:6d02:0:400d,19,2,
00:01:27 ,19,,
00:01:27 fe80::212:6d02:0:400f,fe80::212:6d02:0:400d,20,2,
00:01:27 ,20,,
00:01:27 fe80::212:6d02:0:4012,ff02::1a,39,1,
00:01:28 fe80::212:6d02:0:310d,ff02::1a,35,1,
00:01:28 fe80::212:6d02:0:400d,ff02::1a,45,1,
00:01:28 ,28,,
00:01:28 fe80::212:6d02:0:400f,ff02::1a,21,1,
00:01:28 fe80::212:6d02:0:310d,ff02::1a,36,1,
