1461897345,2001:470:83ae:2:212:6d02:0:4013,0,4,4,3,6,1,2
1461897346,2001:470:83ae:2:212:6d02:0:4043,0,3,3,2,7,1,2
1461897355,2001:470:83ae:2:212:6d02:0:4013,1,2,2,1,3,0,0
1461897356,2001:470:83ae:2:212:6d02:0:4043,1,2,2,1,3,0,0
1461897365,2001:470:83ae:2:212:6d02:0:4013,2,1,1,0,3,0,0
1461897366,2001:470:83ae:2:212:6d02:0:3005,2,3,3,1,2,0,0
1461897375,2001:470:83ae:2:212:6d02:0:4013,3,2,2,1,0,0,0
1461897376,2001:470:83ae:2:212:6d02:0:4043,3,1,1,0,1,0,0
1461897376,2001:470:83ae:2:212:6d02:0:3005,3,1,1,0,1,0,0
1461897385,2001:470:83ae:2:212:6d02:0:4013,4,1,1,0,0,0,0
1461897386,2001:470:83ae:2:212:6d02:0:4043,4,1,1,0,1,0,0
1461897386,2001:470:83ae:2:212:6d02:0:3005,4,1,1,0,1,0,0
1461897395,2001:470:83ae:2:212:6d02:0:4013,5,2,2,1,1,0,0
1461897396,2001:470:83ae:2:212:6d02:0:4043,5,1,1,0,1,0,0
1461897396,2001:470:83ae:2:212:6d02:0:3005,5,1,1,0,1,0,0
1461897405,2001:470:83ae:2:212:6d02:0:4013,6,1,1,0,2,0,0
1461897406,2001:470:83ae:2:212:6d02:0:4043,6,2,2,1,1,0,0
1461897406,2001:470:83ae:2:212:6d02:0:3005,6,2,2,1,1,0,0
1461897415,2001:470:83ae:2:212:6d02:0:4013,7,1,1,0,0,0,0
1461897416,2001:470:83ae:2:212:6d02:0:4043,7,1,1,0,0,0,0
1461897416,2001:470:83ae:2:212:6d02:0:3005,7,1,1,0,0,0,0
1461897425,2001:470:83ae:2:212:6d02:0:4013,8,1,1,0,0,0,0
1461897425,2001:470:83ae:2:212:6d02:0:4043,8,1,1,0,0,0,0
1461897427,2001:470:83ae:2:212:6d02:0:3005,8,1,1,0,0,0,0
1461897435,2001:470:83ae:2:212:6d02:0:4013,9,1,1,0,1,0,0
1461897435,2001:470:83ae:2:212:6d02:0:4043,9,1,1,0,1,0,0
1461897437,2001:470:83ae:2:212:6d02:0:3005,9,1,1,0,1,0,0
1461897445,2001:470:83ae:2:212:6d02:0:4013,10,1,1,0,0,0,0
1461897445,2001:470:83ae:2:212:6d02:0:4043,10,1,1,0,1,0,0
1461897447,2001:470:83ae:2:212:6d02:0:3005,10,1,1,0,1,0,0
1461897455,2001:470:83ae:2:212:6d02:0:4013,11,2,2,1,0,0,0
1461897455,2001:470:83ae:2:212:6d02:0:4043,11,1,1,0,0,0,0
1461897457,2001:470:83ae:2:212:6d02:0:3005,11,1,1,0,0,0,0
1461897465,2001:470:83ae:2:212:6d02:0:4013,12,1,1,0,2,0,0
