00:00:01 fe80::212:6d02:0:400d,ff02::1a,17,1,
00:00:01 fe80::212:6d02:0:400d,ff02::1a,18,1,
00:00:03 fe80::212:6d02:0:400d,ff02::1a,19,1,
00:00:04 fe80::212:6d02:0:400d,ff02::1a,20,1,
00:00:07 fe80::212:6d02:0:400d,ff02::1a,21,1,
00:00:16 fe80::212:6d02:0:400d,ff02::1a,22,1,
00:00:19 fe80::212:6d02:0:4013,ff02::1a,17,0,
00:00:20 fe80::212:6d02:0:400d,ff02::1a,23,1,
00:00:20 fe80::212:6d02:0:4013,ff02::1a,18,1,
00:00:20 fe80::212:6d02:0:4013,fe80::212:6d02:0:400d,19,2,
00:00:20 ,19,,
00:00:20 fe80::212:6d02:0:400d,ff02::1a,24,1,
00:00:20 fe80::212:6d02:0:4013,ff02::1a,20,1,
00:00:21 fe80::212:6d02:0:4013,ff02::1a,21,1,
00:00:21 fe80::212:6d02:0:400d,ff02::1a,25,1,
00:00:22 fe80::212:6d02:0:4013,ff02::2,22,0,1
00:00:22 fe80::212:6d02:0:400d,fe80::212:6d02:0:4013,26,0,1,3
00:00:22 ,26,,
00:00:23 fe80::212:6d02:0:400d,ff02::1a,27,1,
00:00:23 fe80::212:6d02:0:4013,ff02::1a,23,1,
00:00:26 fe80::212:6d02:0:400d,ff02::1a,28,1,
00:00:32 fe80::212:6d02:0:400d,ff02::1a,29,1,
00:00:33 fe80::212:6d02:0:4013,ff02::1a,25,1,
00:00:48 fe80::212:6d02:0:400d,ff02::1a,30,1,
00:00:50 fe80::212:6d02:0:4013,ff02::1a,26,1,
00:01:18 fe80::212:6d02:0:4013,ff02::1a,27,1,
00:01:18 fe80::212:6d02:0:400d,ff02::1a,31,1,
00:02:04 fe80::212:6d02:0:400d,ff02::1a,32,1,
