00:00:06 fe80::212:6d02:0:400d,ff02::1,17,0,1,6
00:00:15 fe80::212:6d02:0:400d,ff02::1,19,0,1,6
00:00:30 fe80::212:6d02:0:400d,ff02::1,20,0,1,6
00:00:38 fe80::212:6d02:0:4013,ff02::1,17,0,1
00:00:40 fe80::212:6d02:0:400d,ff02::1,21,0,1,6
00:00:41 fe80::212:6d02:0:4013,ff02::1,18,0,1,6
00:00:43 fe80::212:6d02:0:400d,ff02::1,22,0,1,6
00:00:44 fe80::212:6d02:0:4013,ff02::1,19,0,1,6
00:00:51 fe80::212:6d02:0:4013,ff02::1,20,0,1,6
00:00:51 fe80::212:6d02:0:400d,ff02::1,23,0,1,6
00:01:05 fe80::212:6d02:0:400d,ff02::1,24,0,1,6
00:01:31 fe80::212:6d02:0:4013,ff02::1,21,0,1,6
00:01:32 fe80::212:6d02:0:400d,ff02::1,25,0,1,6
