00:00:11 fe80::212:6d02:0:400d,ff02::1a,17,1,
00:00:11 fe80::212:6d02:0:4034,ff02::1a,17,1,
00:00:11 fe80::212:6d02:0:4013,ff02::1a,17,1,
00:00:11 fe80::212:6d02:0:4035,ff02::1a,17,1,
00:00:11 ,17,,
00:00:11 fe80::212:6d02:0:4013,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:4035,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 ,18,,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:4034,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:400f,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:3041,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 ,18,,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:304e,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:3005,fe80::212:6d02:0:400d,18,2,
00:00:11 ,18,,
00:00:11 fe80::212:6d02:0:4035,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:4013,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:4034,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:3005,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:400f,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:3041,ff02::1a,19,1,
00:00:11 fe80::212:6d02:0:400d,ff02::1a,19,1,
00:00:12 fe80::212:6d02:0:4013,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:4035,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:4034,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:304e,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:400f,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:3041,ff02::1a,20,1,
00:00:12 fe80::212:6d02:0:3005,ff02::1a,20,1,
00:00:14 fe80::212:6d02:0:400d,ff02::1a,20,1,
00:00:14 fe80::212:6d02:0:4034,ff02::1a,17,1,
00:00:14 fe80::212:6d02:0:400f,ff02::1a,17,1,
00:00:14 fe80::212:6d02:0:3005,ff02::1a,17,1,
00:00:14 fe80::212:6d02:0:3041,ff02::1a,17,1,
00:00:14 ,18,,
00:00:14 ,18,,
00:00:14 fe80::212:6d02:0:4043,fe80::212:6d02:0:400d,18,2,
00:00:14 ,18,,
