1463027939,2001:470:83ae:2:212:6d02:0:4034,10
1463027953,2001:470:83ae:2:212:6d02:0:4043,11
1463027958,2001:470:83ae:2:212:6d02:0:4040,11
1463027958,2001:470:83ae:2:212:6d02:0:4044,11
1463027959,2001:470:83ae:2:212:6d02:0:400f,11
1463027961,2001:470:83ae:2:212:6d02:0:4042,11
1463027963,2001:470:83ae:2:212:6d02:0:4041,11
1463027965,2001:470:83ae:2:212:6d02:0:4035,11
1463027968,2001:470:83ae:2:212:6d02:0:4013,11
1463027969,2001:470:83ae:2:212:6d02:0:4034,11
1463027981,2001:470:83ae:2:212:6d02:0:4045,12
1463027983,2001:470:83ae:2:212:6d02:0:4043,12
1463027988,2001:470:83ae:2:212:6d02:0:4040,12
1463027988,2001:470:83ae:2:212:6d02:0:4044,12
1463027989,2001:470:83ae:2:212:6d02:0:400f,12
1463027991,2001:470:83ae:2:212:6d02:0:4042,12
1463027993,2001:470:83ae:2:212:6d02:0:4041,12
1463027995,2001:470:83ae:2:212:6d02:0:4035,12
1463027998,2001:470:83ae:2:212:6d02:0:4013,12
1463027999,2001:470:83ae:2:212:6d02:0:4034,12
1463028011,2001:470:83ae:2:212:6d02:0:4045,13
1463028013,2001:470:83ae:2:212:6d02:0:4043,13
1463028018,2001:470:83ae:2:212:6d02:0:4040,13
1463028018,2001:470:83ae:2:212:6d02:0:4044,13
1463028019,2001:470:83ae:2:212:6d02:0:400f,13
1463028021,2001:470:83ae:2:212:6d02:0:4042,13
1463028023,2001:470:83ae:2:212:6d02:0:4041,13
1463028025,2001:470:83ae:2:212:6d02:0:4035,13
1463028028,2001:470:83ae:2:212:6d02:0:4013,13
1463028029,2001:470:83ae:2:212:6d02:0:4034,13
1463028040,2001:470:83ae:2:212:6d02:0:4045,14
1463028043,2001:470:83ae:2:212:6d02:0:4043,14
1463028048,2001:470:83ae:2:212:6d02:0:4040,14
1463028049,2001:470:83ae:2:212:6d02:0:400f,14
1463028051,2001:470:83ae:2:212:6d02:0:4042,14
1463028053,2001:470:83ae:2:212:6d02:0:4041,14
1463028055,2001:470:83ae:2:212:6d02:0:4035,14
1463028058,2001:470:83ae:2:212:6d02:0:4013,14
1463028059,2001:470:83ae:2:212:6d02:0:4034,14
1463028070,2001:470:83ae:2:212:6d02:0:4045,15
1463028073,2001:470:83ae:2:212:6d02:0:4043,15
1463028078,2001:470:83ae:2:212:6d02:0:4040,15
1463028079,2001:470:83ae:2:212:6d02:0:4044,15
1463028079,2001:470:83ae:2:212:6d02:0:400f,15
1463028081,2001:470:83ae:2:212:6d02:0:4042,15
1463028083,2001:470:83ae:2:212:6d02:0:4041,15
1463028085,2001:470:83ae:2:212:6d02:0:4035,15
1463028088,2001:470:83ae:2:212:6d02:0:4013,15
1463028089,2001:470:83ae:2:212:6d02:0:4034,15
1463028100,2001:470:83ae:2:212:6d02:0:4045,16
1463028103,2001:470:83ae:2:212:6d02:0:4043,16
1463028108,2001:470:83ae:2:212:6d02:0:4040,16
1463028109,2001:470:83ae:2:212:6d02:0:4044,16
1463028109,2001:470:83ae:2:212:6d02:0:400f,16
1463028111,2001:470:83ae:2:212:6d02:0:4042,16
1463028113,2001:470:83ae:2:212:6d02:0:4041,16
1463028115,2001:470:83ae:2:212:6d02:0:4035,16
